{'Number': 10, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 126, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 127, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 128, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 129, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 130, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 131, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 132, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 133, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 134, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 135, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 136, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 137, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 138, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 139, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 140, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 141, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 142, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 143, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 144, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 145, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 146, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 147, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 148, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 149, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 150, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 151, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 152, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 153, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 154, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 155, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 156, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 157, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 158, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 159, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 160, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 161, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 162, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 163, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 164, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 165, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 166, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 167, 'Palindrone': 'Yes', 'Number of processes': 11}
{'Number': 168, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 169, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 170, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 171, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 172, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 173, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 174, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 175, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 176, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 177, 'Palindrone': 'Yes', 'Number of processes': 15}
{'Number': 178, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 179, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 180, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 181, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 182, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 183, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 184, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 185, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 186, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 188, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 189, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 190, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 191, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 192, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 193, 'Palindrone': 'Yes', 'Number of processes': 8}
{'Number': 194, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 195, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 197, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 198, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 199, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 200, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 201, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 202, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 203, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 204, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 205, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 206, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 207, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 208, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 209, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 210, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 211, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 212, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 213, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 214, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 215, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 216, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 217, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 218, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 219, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 220, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 221, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 222, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 223, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 224, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 225, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 226, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 227, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 228, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 229, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 230, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 231, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 232, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 233, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 234, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 235, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 236, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 237, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 238, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 239, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 240, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 241, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 242, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 243, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 244, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 245, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 246, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 247, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 248, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 249, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 250, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 251, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 252, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 253, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 254, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 255, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 256, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 257, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 258, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 259, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 260, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 261, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 262, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 263, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 264, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 265, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 266, 'Palindrone': 'Yes', 'Number of processes': 11}
{'Number': 267, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 268, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 269, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 270, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 271, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 272, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 273, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 274, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 275, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 276, 'Palindrone': 'Yes', 'Number of processes': 15}
{'Number': 277, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 278, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 279, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 280, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 281, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 282, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 283, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 284, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 285, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 287, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 288, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 289, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 290, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 291, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 292, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 293, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 294, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 296, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 297, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 298, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 299, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 300, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 301, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 302, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 303, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 304, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 305, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 306, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 307, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 308, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 309, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 310, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 311, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 312, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 313, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 314, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 315, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 316, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 317, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 318, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 319, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 320, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 321, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 322, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 323, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 324, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 325, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 326, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 327, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 328, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 329, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 330, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 331, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 332, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 333, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 334, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 335, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 336, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 337, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 338, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 339, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 340, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 341, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 342, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 343, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 344, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 345, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 346, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 347, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 348, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 349, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 350, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 351, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 352, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 353, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 354, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 355, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 356, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 357, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 358, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 359, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 360, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 361, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 362, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 363, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 364, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 365, 'Palindrone': 'Yes', 'Number of processes': 11}
{'Number': 366, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 367, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 368, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 369, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 370, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 371, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 372, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 373, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 374, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 375, 'Palindrone': 'Yes', 'Number of processes': 15}
{'Number': 376, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 377, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 378, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 379, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 380, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 381, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 382, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 383, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 384, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 386, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 387, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 388, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 389, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 390, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 391, 'Palindrone': 'Yes', 'Number of processes': 8}
{'Number': 392, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 393, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 395, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 396, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 397, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 398, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 399, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 400, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 401, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 402, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 403, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 404, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 405, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 406, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 407, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 408, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 409, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 410, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 411, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 412, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 413, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 414, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 415, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 416, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 417, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 418, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 419, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 420, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 421, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 422, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 423, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 424, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 425, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 426, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 427, 'Palindrone': 'Yes', 'Number of processes': 2}
